04:16	0	0	0	
04:17	71	1086	134	
04:17	137	2205	270	
04:17	190	3270	395	
04:17	266	4325	536	
04:17	325	5427	685	
04:17	386	6565	820	
04:18	463	7652	943	
04:18	545	8939	1083	
04:18	604	10115	1225	
04:18	672	11297	1381	
04:18	741	12353	1532	
04:19	796	13368	1645	
04:19	844	14257	1750	
04:19	937	15613	1933	
04:19	995	16788	2069	
04:19	1050	18066	2212	
04:19	1103	19062	2336	
04:20	1161	20036	2467	
04:20	1209	21040	2591	
04:20	1278	22230	2726	
04:20	1351	23322	2849	
04:20	1381	24191	2952	
04:20	1437	25384	3070	
04:21	1497	26550	3205	
04:21	1585	27751	3331	
04:21	1658	28848	3463	
04:21	1737	30018	3599	
04:21	1794	31014	3724	
04:22	1858	31896	3832	
04:22	1910	32983	3956	
04:22	1972	33956	4086	
04:22	2033	35022	4207	
04:22	2111	36176	4339	
04:22	2171	37258	4453	
04:23	2242	38458	4587	
04:23	2307	39545	4712	
04:23	2374	40538	4836	
04:23	2440	41600	4954	
04:23	2499	42909	5083	
04:23	2560	44111	5198	
04:24	2636	45060	5306	
04:24	2693	46098	5435	
04:24	2764	47296	5579	
04:24	2822	48476	5715	
04:24	2880	49495	5845	
04:24	2947	50584	5961	
04:25	3012	51815	6088	
04:25	3068	52708	6191	
04:25	3114	53783	6319	
04:25	3166	54927	6442	
04:25	3228	56096	6584	
04:25	3300	57211	6723	
04:26	3366	58387	6875	
04:26	3409	59329	6970	
04:26	3468	60397	7091	
04:26	3538	61453	7214	
04:26	3611	62521	7333	
04:26	3682	63577	7440	
04:27	3742	64613	7592	
04:27	3795	65687	7710	
04:27	3862	66749	7828	
04:27	3932	67985	7966	
04:27	3993	68997	8089	
04:27	4039	69927	8210	
04:28	4107	71030	8334	
04:28	4172	72148	8462	
04:28	4224	73109	8575	
04:28	4297	74160	8697	
04:28	4369	75350	8818	
04:28	4410	76344	8944	
04:29	4481	77447	9079	
04:29	4537	78348	9203	
04:29	4610	79398	9328	
04:29	4676	80465	9444	
04:29	4740	81523	9571	
04:29	4793	82592	9697	
04:30	4845	83661	9825	
04:30	4926	84725	9929	
04:30	4979	85800	10050	
04:30	5048	86849	10181	
04:30	5119	87968	10320	
04:30	5196	89043	10472	
04:31	5252	89995	10577	
04:31	5325	91049	10698	
04:31	5409	92128	10828	
04:31	5487	93416	10968	
04:31	5548	94481	11087	
04:32	5606	95543	11202	
04:32	5672	96705	11338	
04:32	5726	97540	11455	
04:32	5784	98607	11577	
04:32	5851	99738	11706	
04:32	5924	100798	11847	
04:33	5990	101839	11972	
04:33	6054	102830	12088	
04:33	6117	103893	12200	
